uid,x,y
383,553.0,83.0
1611,140.0,104.0
1612,527.0,84.0
1613,487.0,89.0
806,525.0,82.0
1614,607.0,81.0
1615,605.0,81.0
1616,59.0,39.0
997,540.0,88.0
1617,396.0,156.0
1179,542.0,90.0
1427,533.0,85.0
1618,546.0,92.0
1619,490.0,94.0
539,517.0,79.0
1620,592.0,95.0
1621,118.0,48.0
751,558.0,96.0
1436,546.0,80.0
1425,590.0,96.0
1244,174.0,174.0
1622,539.0,77.0
1623,555.0,94.0
1189,562.0,98.0
1624,531.0,86.0
1625,213.0,198.0
1626,141.0,101.0
1627,512.0,75.0
1628,574.0,102.0
1455,576.0,102.0
1226,531.0,74.0
1629,525.0,367.0
1230,528.0,72.0
998,523.0,72.0
744,526.0,364.0
1630,515.0,299.0
1631,518.0,300.0
1456,525.0,71.0
1632,175.0,179.0
1471,545.0,57.0
1199,534.0,356.0
1633,532.0,350.0
1634,149.0,117.0
1467,146.0,118.0
1635,159.0,119.0
1636,177.0,179.0
1637,457.0,119.0
1638,150.0,120.0
973,534.0,65.0
1314,552.0,330.0
1639,559.0,63.0
1640,531.0,89.0
1641,541.0,83.0
1642,602.0,88.0
1643,511.0,83.0
1644,558.0,84.0
1645,570.0,84.0
790,538.0,66.0
1646,569.0,89.0
1647,560.0,194.0
1648,393.0,156.0
1649,515.0,79.0
1650,571.0,95.0
1453,533.0,81.0
772,543.0,78.0
560,526.0,78.0
1651,411.0,423.0
1652,513.0,78.0
1653,271.0,201.0
1654,577.0,96.0
1468,551.0,76.0
1451,566.0,87.0
1655,573.0,95.0
1000,547.0,87.0
1241,534.0,68.0
904,138.0,102.0
1446,589.0,75.0
1656,584.0,106.0
1657,540.0,72.0
954,524.0,76.0
986,537.0,71.0
1658,590.0,71.0
1659,119.0,51.0
1660,594.0,76.0
1661,586.0,94.0
1662,430.0,420.0
1663,556.0,89.0
1664,603.0,81.0
1218,544.0,62.0
1665,574.0,66.0
1666,574.0,90.0
1434,580.0,82.0
1667,159.0,79.0
1432,582.0,72.0
1430,561.0,90.0
1668,396.0,158.0
1180,548.0,74.0
1669,164.0,39.0
1670,535.0,279.0
1671,542.0,210.0
1672,567.0,66.0
1475,535.0,71.0
1673,573.0,105.0
1674,546.0,84.0
1675,555.0,208.0
1676,547.0,64.0
1677,573.0,69.0
1678,501.0,79.0
1177,566.0,82.0
1261,532.800048828125,80.4000015258789
1679,158.40000915527344,118.80000305175781
1680,457.20001220703125,118.80000305175781
1681,148.8000030517578,118.80000305175781
150,516.0,79.20000457763672
1300,524.4000244140625,81.60000610351562
1682,530.4000244140625,88.80000305175781
1683,524.4000244140625,367.20001220703125
1684,117.60000610351562,48.0
1685,525.6000366210938,363.6000061035156
1476,534.0,355.20001220703125
1686,531.6000366210938,349.20001220703125
1687,550.800048828125,330.0
1688,148.8000030517578,116.4000015258789
1478,542.4000244140625,78.0
1689,512.4000244140625,78.0
1690,517.2000122070312,300.0
1473,536.4000244140625,81.60000610351562
1270,538.800048828125,76.80000305175781
1691,58.80000305175781,38.400001525878906
1692,489.6000061035156,93.60000610351562
1262,522.0,75.60000610351562
1257,526.800048828125,84.0
1693,530.4000244140625,74.4000015258789
1694,512.4000244140625,74.4000015258789
1265,558.0,96.0
1695,393.6000061035156,156.0
1696,172.8000030517578,174.0
1697,544.800048828125,57.60000228881836
1256,528.0,72.0
1259,531.6000366210938,85.20000457763672
1278,542.4000244140625,90.0
826,524.4000244140625,70.80000305175781
1698,175.20001220703125,180.0
1699,583.2000122070312,105.60000610351562
1018,573.6000366210938,102.00000762939453
1477,532.800048828125,68.4000015258789
1700,559.2000122070312,194.40000915527344
1701,487.20001220703125,88.80000305175781
1702,140.40000915527344,100.80000305175781
1497,534.0,64.80000305175781
1703,212.40000915527344,198.00001525878906
1704,589.2000122070312,96.0
1513,538.800048828125,87.60000610351562
1705,559.2000122070312,202.8000030517578
1025,562.800048828125,97.20000457763672
1489,537.6000366210938,66.0
1706,572.4000244140625,66.0
1086,562.800048828125,80.4000015258789
1707,553.2000122070312,208.8000030517578
1708,562.800048828125,64.80000305175781
1709,271.20001220703125,200.40000915527344
1493,565.2000122070312,86.4000015258789
1285,547.2000122070312,64.80000305175781
1209,601.2000122070312,87.60000610351562
1482,576.0,96.0
1276,547.2000122070312,86.4000015258789
1423,540.0,210.00001525878906
594,529.2000122070312,78.0
1710,555.6000366210938,88.80000305175781
1449,577.2000122070312,69.60000610351562
1496,568.800048828125,88.80000305175781
1510,543.6000366210938,62.400001525878906
1271,525.6000366210938,78.0
1711,552.0,60.000003814697266
1712,540.0,70.80000305175781
1713,410.4000244140625,422.4000244140625
1533,580.800048828125,92.4000015258789
1527,565.2000122070312,70.80000305175781
1714,589.2000122070312,70.80000305175781
1715,562.800048828125,92.4000015258789
1269,560.4000244140625,90.0
1279,573.6000366210938,90.0
1013,558.0,84.0
1716,544.800048828125,84.0
1717,540.0,84.0
1718,597.6000366210938,90.0
1719,511.20001220703125,82.80000305175781
1092,429.6000061035156,420.0000305175781
1251,548.4000244140625,74.4000015258789
1485,553.2000122070312,82.80000305175781
1720,534.0,279.6000061035156
1263,571.2000122070312,94.80000305175781
1292,567.6000366210938,76.80000305175781
1721,564.0,75.60000610351562
1031,570.0,82.80000305175781
1722,554.4000244140625,76.80000305175781
1286,550.800048828125,76.80000305175781
1723,164.40000915527344,38.400001525878906
1268,552.0,70.80000305175781
1724,555.8400268554688,89.2800064086914
547,118.08000183105469,47.52000045776367
1725,213.12001037597656,197.28001403808594
305,174.24000549316406,172.8000030517578
1540,537.1199951171875,87.84000396728516
245,516.9600219726562,299.52001953125
1726,456.4800109863281,119.52000427246094
812,148.32000732421875,118.08000183105469
1727,141.12001037597656,99.36000061035156
1318,557.280029296875,96.4800033569336
1334,588.9600219726562,95.04000091552734
1728,550.0800170898438,329.760009765625
1729,488.1600341796875,92.16000366210938
574,531.3600463867188,348.4800109863281
1730,541.4400024414062,77.76000213623047
241,532.800048828125,354.2400207519531
1327,524.1600341796875,70.56000518798828
853,534.2400512695312,64.80000305175781
582,545.760009765625,57.60000228881836
1332,558.7200317382812,89.2800064086914
1328,547.2000122070312,86.4000015258789
1731,158.40000915527344,118.08000183105469
1732,488.1600341796875,86.4000015258789
1733,410.4000244140625,421.9200134277344
1734,555.8400268554688,83.52000427246094
1735,544.3200073242188,83.52000427246094
1736,540.0,83.52000427246094
1322,528.4800415039062,83.52000427246094
1539,522.7200317382812,82.08000183105469
1545,511.20001220703125,82.08000183105469
1320,542.8800048828125,90.72000122070312
1737,583.2000122070312,105.12000274658203
1522,548.6400146484375,80.63999938964844
1738,535.6799926757812,80.63999938964844
1739,532.800048828125,80.63999938964844
232,515.52001953125,79.20000457763672
1740,557.280029296875,194.40000915527344
1741,538.5599975585938,77.76000213623047
1311,529.9200439453125,77.76000213623047
1333,525.6000366210938,77.76000213623047
1742,573.1199951171875,102.24000549316406
1743,560.1600341796875,201.60000610351562
