uid,x,y
5327,340.0,134.0
5328,322.0,174.0
5329,251.0,419.0
5330,253.0,417.0
5331,319.0,233.0
3901,247.0,417.0
4855,258.0,412.0
5177,261.0,411.0
5186,327.0,354.0
5023,328.0,350.0
2843,333.0,342.0
4494,331.0,337.0
5185,341.0,321.0
5030,314.0,304.0
4510,295.0,149.0
4723,319.0,287.0
4903,324.0,286.0
5184,297.0,273.0
5216,299.0,127.0
4708,283.0,145.0
5332,320.0,238.0
5333,325.0,233.0
4787,326.0,230.0
5334,329.0,229.0
5335,330.0,216.0
4367,326.0,222.0
4540,327.0,216.0
5336,330.0,214.0
5337,279.0,145.0
4131,286.0,146.0
4856,332.0,156.0
4728,191.0,205.0
4567,320.0,128.0
5338,319.0,174.0
5339,328.0,226.0
5340,274.0,144.0
5025,298.0,124.0
4527,302.0,124.0
5341,548.0,193.0
5342,305.0,125.0
5343,302.0,128.0
5077,316.0,128.0
5344,240.0,80.0
5345,312.0,130.0
5180,455.0,131.0
4183,294.0,132.0
5346,324.0,132.0
5036,328.0,132.0
4584,461.0,132.0
4712,286.0,136.0
5060,316.0,136.0
5347,581.0,183.0
5348,358.0,136.0
5349,577.0,178.0
5350,534.0,178.0
5175,239.0,177.0
5351,322.0,172.0
5050,571.0,167.0
5352,566.0,164.0
5179,346.0,138.0
5353,568.0,162.0
5354,348.0,138.0
4520,464.0,162.0
5355,326.0,160.0
4518,469.0,159.0
4522,315.0,159.0
5356,274.0,142.0
5357,478.0,106.0
5358,335.0,156.0
4348,326.0,156.0
5359,519.0,155.0
4727,261.0,155.0
4870,329.0,154.0
4863,316.0,152.0
5040,314.0,152.0
4880,272.0,144.0
4350,260.0,152.0
4161,327.0,151.0
5195,336.0,149.0
5360,342.0,144.0
4866,304.0,148.0
5361,292.0,146.0
5362,269.0,145.0
4871,285.0,194.0
5363,476.0,101.0
5202,320.0,240.0
4528,453.0,128.0
5364,502.0,202.0
5365,270.0,195.0
5366,482.0,206.0
5367,244.0,82.0
5183,351.0,139.0
5368,241.0,82.0
5369,288.0,194.0
3751,544.0,182.0
5370,238.0,80.0
5192,280.0,142.0
5371,293.0,193.0
5372,283.0,191.0
5373,485.0,205.0
5374,244.0,84.0
5375,336.0,136.0
4355,314.0,148.0
5376,238.0,84.0
5377,503.0,192.0
5378,465.0,105.0
5083,476.0,105.0
5379,317.0,163.0
5380,482.0,204.0
5381,543.6000366210938,182.40000915527344
5382,316.8000183105469,128.40000915527344
5081,190.8000030517578,205.20001220703125
5383,322.8000183105469,162.0
4607,309.6000061035156,152.40000915527344
5384,339.6000061035156,148.8000030517578
5072,346.8000183105469,138.0
4921,291.6000061035156,145.20001220703125
5088,303.6000061035156,147.60000610351562
4507,314.4000244140625,304.8000183105469
5075,350.4000244140625,139.20001220703125
4862,340.8000183105469,321.6000061035156
5079,304.8000183105469,126.00000762939453
4189,331.20001220703125,337.20001220703125
4762,250.8000030517578,418.8000183105469
4920,452.4000244140625,128.40000915527344
3086,332.4000244140625,342.0
5232,247.20001220703125,417.6000061035156
5243,273.6000061035156,141.60000610351562
4765,358.8000183105469,136.8000030517578
5385,286.8000183105469,136.8000030517578
5386,312.0,129.60000610351562
3640,252.00001525878906,416.4000244140625
4186,285.6000061035156,145.20001220703125
5026,296.4000244140625,272.4000244140625
5230,548.4000244140625,194.40000915527344
4916,295.20001220703125,148.8000030517578
5387,327.6000061035156,349.20001220703125
5388,297.6000061035156,123.60000610351562
5389,283.20001220703125,145.20001220703125
5390,334.8000183105469,148.8000030517578
5391,326.4000244140625,151.20001220703125
5246,315.6000061035156,152.40000915527344
5068,326.4000244140625,354.0
5392,336.0,135.60000610351562
5234,260.4000244140625,153.60000610351562
4769,297.6000061035156,148.8000030517578
5393,547.2000122070312,192.0
5394,328.8000183105469,153.60000610351562
5395,519.6000366210938,154.8000030517578
5233,333.6000061035156,156.0
5226,342.0,142.8000030517578
4766,454.8000183105469,130.8000030517578
5396,324.0,158.40000915527344
5236,320.4000244140625,238.8000030517578
4581,468.0000305175781,159.60000610351562
5397,330.0,213.60000610351562
4756,464.4000244140625,162.0
4575,326.4000244140625,214.8000030517578
4741,271.20001220703125,144.0
4938,340.8000183105469,134.40000915527344
5398,268.8000183105469,145.20001220703125
4934,476.4000244140625,99.60000610351562
4909,325.20001220703125,220.8000030517578
5399,567.6000366210938,162.0
4556,278.4000244140625,145.20001220703125
5242,324.0,133.20001220703125
5087,579.6000366210938,182.40000915527344
5258,324.0,232.8000030517578
4918,571.2000122070312,166.8000030517578
5400,328.8000183105469,228.00001525878906
5401,460.8000183105469,132.0
5402,477.6000061035156,105.60000610351562
5321,576.0,177.60000610351562
4743,325.20001220703125,229.20001220703125
5403,327.6000061035156,132.0
5404,238.8000030517578,177.60000610351562
5405,567.6000366210938,168.0
4927,532.800048828125,176.40000915527344
5406,320.4000244140625,176.40000915527344
5407,321.6000061035156,171.60000610351562
4897,319.20001220703125,174.0
5408,322.8000183105469,286.8000183105469
5231,294.0,132.0
5409,320.4000244140625,232.8000030517578
5410,243.60000610351562,84.0
5091,534.0,229.20001220703125
5411,484.8000183105469,204.00001525878906
5241,280.8000183105469,194.40000915527344
5412,318.0,163.20001220703125
3083,279.6000061035156,141.60000610351562
5090,284.4000244140625,193.20001220703125
5413,291.6000061035156,192.0
5414,320.4000244140625,160.8000030517578
5415,279.6000061035156,192.0
5416,316.8000183105469,175.20001220703125
5245,288.0,193.20001220703125
5417,501.6000061035156,202.8000030517578
5418,237.60000610351562,79.20000457763672
5419,154.8000030517578,72.0
5120,570.2400512695312,167.04000854492188
5136,324.0,233.28001403808594
4406,324.0,221.760009765625
5420,328.32000732421875,131.04000854492188
4779,339.84002685546875,321.1200256347656
5421,250.5600128173828,419.0400085449219
4944,331.20001220703125,335.52001953125
5422,347.0400085449219,141.12001037597656
4945,331.20001220703125,341.2799987792969
5423,329.760009765625,213.12001037597656
4432,239.04000854492188,175.6800079345703
2018,313.9200134277344,303.84002685546875
5247,319.6800231933594,175.6800079345703
4410,247.6800079345703,416.1600036621094
5256,252.00001525878906,414.72003173828125
5424,341.2799987792969,142.5600128173828
4792,531.3600463867188,175.6800079345703
4247,298.08001708984375,123.84000396728516
4966,567.3600463867188,162.72000122070312
4226,326.8800048828125,348.4800109863281
4954,290.8800048828125,144.0
5425,285.1200256347656,145.44000244140625
5109,302.4000244140625,146.8800048828125
4624,465.1200256347656,161.27999877929688
4612,296.6400146484375,148.32000732421875
5248,334.08001708984375,148.32000732421875
5106,318.2400207519531,286.55999755859375
4965,548.6400146484375,194.40000915527344
4594,324.0,228.9600067138672
4948,309.6000061035156,152.63999938964844
5426,295.20001220703125,272.1600036621094
3323,315.3600158691406,151.20001220703125
5427,260.6400146484375,152.63999938964844
2594,334.08001708984375,155.52000427246094
5251,329.760009765625,226.0800018310547
5117,190.0800018310547,204.48001098632812
4616,322.55999755859375,156.9600067138672
4798,312.4800109863281,158.40000915527344
4960,273.6000061035156,141.12001037597656
4788,347.0400085449219,136.8000030517578
5262,335.52001953125,135.36000061035156
5428,519.8400268554688,155.52000427246094
4946,358.5600280761719,136.8000030517578
4231,341.2799987792969,133.9199981689453
4974,476.6400146484375,99.36000061035156
5263,324.0,132.48001098632812
4953,349.9200134277344,139.6800079345703
5259,460.8000183105469,131.04000854492188
4622,468.0000305175781,159.8400115966797
4977,455.0400085449219,131.04000854492188
5429,576.0,178.5600128173828
5430,478.08001708984375,105.12000274658203
4625,319.6800231933594,237.60000610351562
4797,316.8000183105469,161.27999877929688
5264,322.55999755859375,171.36000061035156
5267,312.4800109863281,129.60000610351562
5282,452.1600036621094,128.16000366210938
5250,316.8000183105469,128.16000366210938
4623,305.2799987792969,126.72000122070312
5431,321.1200256347656,161.27999877929688
5432,578.8800048828125,181.44000244140625
4445,325.44000244140625,352.8000183105469
3104,277.9200134277344,145.44000244140625
5433,270.7200012207031,144.0
5434,542.8800048828125,181.44000244140625
5435,231.8400115966797,87.84000396728516
5265,293.760009765625,131.04000854492188
4956,267.8399963378906,145.44000244140625
4786,313.9200134277344,236.16000366210938
5436,538.5599975585938,180.0
2796,279.3600158691406,141.12001037597656
5268,234.7200164794922,87.84000396728516
5260,286.55999755859375,136.8000030517578
5437,534.2400512695312,228.9600067138672
5100,313.9200134277344,244.8000030517578
4971,231.55201721191406,88.12800598144531
5281,323.1360168457031,133.05601501464844
5098,250.56002807617188,419.904052734375
5438,459.6480407714844,131.32801818847656
5115,247.10401916503906,416.4480285644531
5274,252.28802490234375,414.72003173828125
5439,456.1920471191406,131.32801818847656
4446,328.3200378417969,349.0560302734375
5440,328.3200378417969,131.32801818847656
290,331.7760314941406,342.14404296875
3612,331.7760314941406,336.96002197265625
2024,290.30401611328125,143.42401123046875
4265,338.6880187988281,321.40802001953125
4985,278.2080383300781,145.15200805664062
5441,314.49603271484375,304.1280212402344
5276,317.9520263671875,288.5760192871094
897,302.4000244140625,146.88002014160156
4983,295.488037109375,273.0240173339844
2426,319.6800231933594,238.46401977539062
5442,340.4160461425781,146.88002014160156
4057,297.2160339355469,148.60801696777344
4475,319.6800231933594,233.280029296875
5443,317.9520263671875,160.70401000976562
5118,333.5040283203125,148.60801696777344
5444,316.2240295410156,127.87200927734375
4277,305.85601806640625,127.87200927734375
4802,330.04803466796875,226.36802673339844
4261,324.8640441894531,222.91201782226562
4806,314.49603271484375,150.3360137939453
4285,324.8640441894531,216.00001525878906
5272,330.04803466796875,212.5440216064453
4447,260.92803955078125,152.0640106201172
4807,309.3120422363281,152.0640106201172
4809,340.4160461425781,141.69601440429688
4444,333.5040283203125,155.52001953125
4276,298.94403076171875,124.416015625
5445,190.08001708984375,203.90402221679688
3127,340.4160461425781,134.7840118408203
5446,520.1280517578125,155.52001953125
5447,549.5040283203125,196.9920196533203
4970,547.7760620117188,193.5360107421875
5273,279.93603515625,141.69601440429688
4604,347.3280334472656,136.5120086669922
5448,357.696044921875,136.5120086669922
5145,321.40802001953125,157.24801635742188
4815,312.7680358886719,158.97601318359375
5449,578.8800659179688,181.4400177001953
5278,349.0560302734375,139.968017578125
4972,319.6800231933594,176.25601196289062
4629,528.76806640625,174.52801513671875
5277,276.48004150390625,141.69601440429688
5450,323.1360168457031,171.072021484375
5122,566.7840576171875,162.43202209472656
4454,464.83203125,160.70401000976562
5451,314.49603271484375,122.6880111694336
5452,317.9520263671875,122.6880111694336
5453,478.6560363769531,103.68000793457031
5454,326.592041015625,354.2400207519531
5455,335.2320251464844,136.5120086669922
5456,312.7680358886719,131.32801818847656
2211,312.7680358886719,236.73602294921875
5457,530.4960327148438,183.1680145263672
4660,278.2080383300781,157.24801635742188
5458,294.45123291015625,271.6416320800781
3849,458.2656555175781,130.63682556152344
5291,290.3040466308594,141.00482177734375
4663,340.0704345703125,141.00482177734375
3825,252.97923278808594,412.6464538574219
5290,284.083251953125,145.1520233154297
5459,321.4080505371094,236.3904266357422
5287,302.7456359863281,145.1520233154297
4290,300.6720275878906,122.34241485595703
4822,296.52484130859375,147.22561645507812
