uid,x,y
1,127.0,31.0
500,607.0,99.0
59,110.0,296.0
501,122.0,32.0
502,572.0,296.0
503,573.0,298.0
504,541.0,271.0
20,553.0,320.0
505,600.0,68.0
506,603.0,217.0
507,68.0,326.0
508,146.0,270.0
509,586.0,230.0
510,584.0,230.0
85,582.0,230.0
511,595.0,229.0
86,593.0,229.0
92,590.0,228.0
512,435.0,437.0
341,166.0,42.0
11,216.0,219.0
3,213.0,218.0
513,441.0,440.0
514,216.0,217.0
7,443.0,439.0
515,588.0,354.0
69,570.0,92.0
516,486.0,212.0
87,484.0,212.0
60,223.0,212.0
8,308.0,204.0
517,200.0,112.0
518,456.0,438.0
519,595.0,69.0
12,452.0,438.0
19,212.0,176.0
13,438.0,437.0
520,211.0,171.0
29,566.0,373.0
521,438.0,168.0
522,607.0,109.0
523,592.0,102.0
2,220.0,215.0
34,569.0,380.0
35,558.0,388.0
43,436.0,166.0
25,434.0,166.0
36,557.0,391.0
524,605.0,67.0
152,505.0,131.0
525,570.0,295.0
526,197.0,115.0
30,204.0,112.0
33,187.0,111.0
527,598.0,70.0
5,569.0,298.0
528,600.0,72.0
529,193.0,109.0
530,608.0,106.0
89,594.0,106.0
531,595.0,75.0
532,111.0,298.0
533,593.0,99.0
534,579.0,99.0
140,181.0,95.0
535,211.0,166.0
536,183.0,94.0
537,563.0,93.0
538,432.0,165.0
189,438.0,166.0
58,186.0,92.0
539,567.0,91.0
540,565.0,91.0
77,559.0,91.0
541,590.0,104.0
44,568.0,368.0
14,149.0,269.0
21,217.0,174.0
542,576.0,86.0
543,538.0,106.0
544,222.0,216.0
545,120.0,32.0
546,166.0,39.0
68,219.0,39.0
547,160.0,40.0
22,215.0,175.0
23,125.0,31.0
548,163.0,40.0
549,226.0,212.0
72,305.0,205.0
550,572.0,88.0
164,537.0,104.0
551,248.0,199.0
552,206.0,81.0
553,593.0,69.0
554,215.0,120.0
555,605.0,167.0
100,599.0,105.0
556,608.0,126.0
557,598.0,96.0
558,145.0,273.0
61,65.0,329.0
76,248.0,202.0
559,590.0,92.0
383,605.0,99.0
200,604.0,92.0
560,578.0,92.0
561,92.0,44.0
66,572.0,84.0
562,200.40000915527344,73.20000457763672
563,444.0000305175781,439.20001220703125
4,456.0000305175781,438.0000305175781
564,166.8000030517578,38.400001525878906
156,169.20001220703125,439.20001220703125
565,451.20001220703125,438.0000305175781
566,165.60000610351562,42.0
567,438.0000305175781,438.0000305175781
568,595.2000122070312,91.20000457763672
569,151.20001220703125,268.8000183105469
570,600.0,64.80000305175781
110,88.80000305175781,46.80000305175781
98,594.0,75.60000610351562
571,597.6000366210938,105.60000610351562
170,556.800048828125,391.20001220703125
572,584.4000244140625,81.60000610351562
185,558.0,387.6000061035156
173,567.6000366210938,379.20001220703125
573,597.6000366210938,108.00000762939453
574,566.4000244140625,373.20001220703125
26,586.800048828125,354.0
575,64.80000305175781,330.0
141,68.4000015258789,326.4000244140625
136,553.2000122070312,320.4000244140625
576,573.6000366210938,297.6000061035156
73,110.4000015258789,295.20001220703125
109,484.8000183105469,198.00001525878906
577,205.20001220703125,57.60000228881836
578,565.2000122070312,96.0
579,597.6000366210938,96.0
580,597.6000366210938,70.80000305175781
581,207.60000610351562,116.4000015258789
582,600.0,72.0
583,583.2000122070312,235.20001220703125
584,594.0,228.00001525878906
121,214.8000030517578,219.60000610351562
122,212.40000915527344,218.40000915527344
149,571.2000122070312,87.60000610351562
585,585.6000366210938,78.0
218,216.00001525878906,216.00001525878906
123,219.60000610351562,214.8000030517578
586,222.00001525878906,213.60000610351562
24,214.8000030517578,172.8000030517578
587,224.40000915527344,212.40000915527344
588,483.6000061035156,211.20001220703125
131,304.8000183105469,205.20001220703125
130,308.4000244140625,204.00001525878906
589,248.40000915527344,201.60000610351562
139,250.8000030517578,198.00001525878906
590,214.8000030517578,175.20001220703125
180,212.40000915527344,176.40000915527344
188,217.20001220703125,174.0
27,211.20001220703125,170.40000915527344
591,436.8000183105469,168.0
592,398.4000244140625,188.40000915527344
593,435.6000061035156,165.60000610351562
219,187.20001220703125,91.20000457763672
154,559.2000122070312,91.20000457763672
150,564.0,91.20000457763672
155,568.800048828125,91.20000457763672
594,578.4000244140625,91.20000457763672
595,433.20001220703125,165.60000610351562
596,211.20001220703125,165.60000610351562
175,207.60000610351562,92.4000015258789
167,214.8000030517578,118.80000305175781
165,196.8000030517578,115.20000457763672
220,182.40000915527344,93.60000610351562
162,202.8000030517578,112.80000305175781
597,187.20001220703125,111.60000610351562
598,199.20001220703125,110.4000015258789
599,193.20001220703125,109.20000457763672
600,594.0,105.60000610351562
601,592.800048828125,98.4000015258789
160,578.4000244140625,98.4000015258789
198,187.20001220703125,98.4000015258789
602,169.20001220703125,37.20000076293945
603,589.2000122070312,85.20000457763672
107,163.20001220703125,439.20001220703125
604,572.4000244140625,84.0
605,597.6000366210938,98.4000015258789
606,583.2000122070312,78.0
607,601.2000122070312,217.20001220703125
172,201.60000610351562,69.60000610351562
132,165.60000610351562,435.6000061035156
608,212.40000915527344,159.60000610351562
609,110.4000015258789,298.8000183105469
151,568.800048828125,298.8000183105469
115,567.6000366210938,368.4000244140625
610,590.4000244140625,92.4000015258789
57,601.2000122070312,85.20000457763672
611,577.4400024414062,92.16000366210938
249,213.12001037597656,168.48001098632812
612,89.2800064086914,46.08000183105469
228,213.12001037597656,177.12001037597656
242,434.8800048828125,165.60000610351562
137,64.80000305175781,329.760009765625
613,586.0800170898438,352.8000183105469
614,67.68000030517578,326.8800048828125
245,552.9600219726562,319.6800231933594
615,567.3600463867188,299.52001953125
153,573.1199951171875,298.08001708984375
187,214.5600128173828,172.8000030517578
238,565.9200439453125,296.6400146484375
248,432.0000305175781,164.16000366210938
202,211.6800079345703,164.16000366210938
244,210.24000549316406,169.92001342773438
616,217.44000244140625,174.24000549316406
212,250.5600128173828,197.28001403808594
259,214.5600128173828,119.52000427246094
237,197.28001403808594,115.20000457763672
617,204.48001098632812,112.32000732421875
618,593.280029296875,74.8800048828125
235,188.6400146484375,112.32000732421875
619,583.2000122070312,80.63999938964844
620,560.1600341796875,95.04000091552734
247,565.9200439453125,372.96002197265625
186,540.0,270.7200012207031
277,204.48001098632812,80.63999938964844
234,563.0400390625,95.04000091552734
214,308.1600036621094,203.04000854492188
241,567.3600463867188,378.7200012207031
252,570.2400512695312,87.84000396728516
621,192.9600067138672,108.00000762939453
293,185.760009765625,90.72000122070312
622,593.280029296875,105.12000274658203
623,558.7200317382812,90.72000122070312
236,540.0,103.68000793457031
232,563.0400390625,92.16000366210938
624,198.72000122070312,110.8800048828125
625,578.8800048828125,97.92000579833984
626,581.760009765625,228.9600067138672
627,182.8800048828125,93.60000610351562
628,558.7200317382812,385.9200134277344
227,555.8400268554688,391.6800231933594
216,221.760009765625,213.12001037597656
629,224.6400146484375,211.6800079345703
630,593.280029296875,97.92000579833984
209,224.6400146484375,161.27999877929688
262,204.48001098632812,57.60000228881836
631,590.4000244140625,92.16000366210938
632,436.32000732421875,168.48001098632812
633,207.36001586914062,116.64000701904297
634,588.9600219726562,84.96000671386719
256,207.36001586914062,92.16000366210938
635,583.2000122070312,234.7200164794922
636,485.280029296875,198.72000122070312
207,187.20001220703125,97.92000579833984
637,144.0,270.7200012207031
230,110.8800048828125,293.760009765625
638,175.6800079345703,426.2400207519531
639,113.76000213623047,292.32000732421875
640,576.0,243.36001586914062
641,211.6800079345703,158.40000915527344
642,573.1199951171875,244.8000030517578
643,216.00001525878906,216.00001525878906
644,398.8800048828125,187.20001220703125
645,223.20001220703125,128.16000366210938
268,372.96002197265625,191.52000427246094
646,195.8400115966797,63.36000061035156
647,249.12001037597656,201.60000610351562
648,192.9600067138672,421.9200134277344
273,200.16000366210938,70.56000518798828
208,184.32000732421875,414.72003173828125
649,86.4000015258789,365.760009765625
204,187.20001220703125,417.6000061035156
650,198.7200164794922,110.59201049804688
375,210.81602478027344,174.52801513671875
309,566.7840576171875,371.5200500488281
651,580.6080322265625,229.8240203857422
290,566.7840576171875,378.4320373535156
283,222.91201782226562,212.5440216064453
275,552.9600830078125,319.6800231933594
286,558.14404296875,387.072021484375
285,307.5840148925781,203.90402221679688
652,250.56002807617188,196.9920196533203
297,539.1360473632812,269.5680236816406
289,212.5440216064453,177.98402404785156
281,219.45602416992188,174.52801513671875
292,214.2720184326172,172.80001831054688
653,210.81602478027344,169.34400939941406
305,214.2720184326172,167.6160125732422
298,432.0000305175781,164.16001892089844
303,196.9920196533203,115.77600860595703
301,188.35202026367188,112.32000732421875
284,565.0560302734375,297.2160339355469
654,571.9680786132812,298.94403076171875
294,184.89601135253906,91.5840072631836
299,563.3280639648438,91.5840072631836
302,539.1360473632812,103.68000793457031
655,563.3280639648438,95.04000854492188
300,551.2320556640625,95.04000854492188
274,250.56002807617188,200.44801330566406
233,559.8720703125,95.04000854492188
223,146.88002014160156,269.5680236816406
656,584.0640258789062,235.00802612304688
308,504.5760498046875,129.60000610351562
657,578.8800659179688,98.49600982666016
307,217.72802734375,120.96001434326172
282,67.39200592041016,328.3200378417969
306,214.2720184326172,119.23200988769531
334,558.14404296875,89.85601043701172
658,570.2400512695312,88.12800598144531
659,207.36001586914062,115.77600860595703
326,203.90402221679688,112.32000732421875
280,224.6400146484375,160.70401000976562
660,563.3280639648438,112.32000732421875
312,485.56805419921875,198.7200164794922
