uid,x0,y0,x1,y1
6,351.3204,211.6722,311.9952,353.1578
19,358.2410,229.1492,435.4033,255.4794
21,285.0741,376.7346,278.3602,399.5245
9,349.9250,211.9286,447.5734,247.6392
97,367.0120,418.2116,354.9506,479.3677
3,181.5882,430.3306,174.1378,459.6912
71,484.1232,454.9885,477.8479,479.0835
22,0.4635,418.3231,325.6120,440.4862
56,472.5136,209.5128,639.8514,212.5343
36,336.8378,416.0932,367.8651,418.6920
16,108.1240,119.8864,286.3310,185.8167
4,155.9951,388.6044,181.8235,430.7884
0,62.0105,269.7144,250.1190,311.2759
28,104.6434,122.3026,61.9307,269.8460
11,114.5322,133.7763,278.4235,191.7005
17,360.6573,229.6984,316.7150,381.4743
45,415.6668,441.1214,477.2437,478.0746
20,412.6026,456.5190,445.9155,478.9745
2,360.4203,452.2530,412.0667,456.7811
40,446.0497,246.6142,399.2357,454.7827
30,277.4122,398.7381,326.7918,439.8739
14,435.2011,253.8801,386.9220,453.4138
26,315.2861,379.9201,369.0184,416.7186
82,483.5602,456.6666,518.8455,477.4258
134,276.4982,192.4113,246.2578,297.9585
66,266.8061,195.6175,241.3783,290.2525
57,471.6257,208.2551,414.6974,456.9834
37,0.5195,295.4540,72.1348,308.4141
7,284.8622,377.0609,312.5937,379.1460
33,285.1743,376.8990,337.4673,415.4888
24,87.0936,256.4120,239.7660,289.8813
133,585.9016,437.2445,639.2313,459.3610
51,75.9214,264.0323,246.3167,299.6924
135,325.7576,440.7694,318.8970,464.7664
29,1.0177,454.6740,317.1100,465.3622
114,113.9987,135.3276,74.2070,265.9285
41,197.9471,335.7093,314.3837,357.1754
23,119.6687,145.1200,268.7421,196.6981
93,485.5995,453.8079,536.5403,456.2373
27,190.0061,388.2833,276.3842,398.2987
121,0.8703,303.4585,71.0416,315.7017
136,1.3093,367.9095,43.9786,372.6974
117,128.3652,385.5531,188.1423,391.6737
96,326.5827,440.4394,316.3189,479.0702
137,200.0426,329.8793,312.1664,350.9168
124,123.3538,143.7079,84.6551,259.3588
115,314.3190,353.5645,314.2168,379.1222
138,150.0972,317.7729,124.4394,392.4801
