uid,x0,y0,x1,y1
20,388.5501,454.6619,424.0469,479.1389
19,338.4478,227.9528,414.4153,255.0699
4,129.8763,384.9662,155.6602,427.0172
30,253.7862,396.4012,302.5186,438.1480
21,261.4465,374.3171,254.7064,396.5728
2,335.3406,449.7174,387.6415,454.5130
71,456.2117,453.4359,450.1203,478.9295
26,292.0411,377.1534,343.9493,414.1883
16,86.4403,111.5526,267.9122,183.1736
7,261.8704,375.0075,291.2399,377.4403
97,342.6337,415.9667,328.9930,479.2568
36,311.8627,413.2807,342.9763,416.1582
6,332.2563,209.7769,289.6675,350.7512
14,413.3670,252.5714,363.8090,450.2874
3,154.8691,426.7066,146.9590,456.5746
9,330.7703,210.9186,426.5172,247.6153
0,35.3763,263.6877,229.8352,307.9671
17,339.6644,227.1740,296.3985,377.9036
57,452.3222,209.1087,390.3456,454.4334
22,0.0000,416.1775,303.0394,436.9800
121,0.7646,301.9315,43.0393,309.4304
139,266.0166,183.6996,231.5045,305.5617
56,452.1273,210.6210,639.8570,218.6025
24,65.1437,249.4400,217.3101,287.4506
51,51.0218,254.6890,221.6400,297.6134
137,173.8699,331.4351,291.5139,354.5768
23,98.8052,138.6393,248.2665,192.3816
27,164.5527,385.3097,253.3845,396.0935
134,248.4086,191.4310,218.4216,287.1867
33,262.2933,373.8242,311.0159,411.7617
45,392.1079,438.9469,451.0488,477.6290
29,0.0000,452.1025,294.0513,464.2362
40,424.1020,249.6100,374.2806,452.1210
37,0.5518,293.9287,44.5301,302.2366
11,88.8432,125.5629,263.5113,187.9016
93,456.6600,451.7614,508.0350,453.8284
28,83.8700,113.1090,33.7139,263.5150
82,456.3615,454.1632,488.0350,474.2924
146,301.0374,437.3725,294.3352,460.8133
141,292.5055,353.2502,291.4503,376.9648
114,93.3543,127.1498,49.0246,252.6758
148,102.7060,381.4236,162.5940,388.1201
144,5.5952,366.2471,98.5667,388.9186
150,125.5059,313.4415,97.0858,388.5513
133,553.5754,433.8060,639.3970,472.1916
140,100.5140,136.3055,61.1719,250.8373
151,149.5375,457.3452,293.1601,462.0666
152,334.1937,453.1906,362.5854,479.2766
96,301.5189,438.0647,290.4886,479.3454
