uid,x0,y0,x1,y1
15,541.4723,410.2473,535.7424,479.5217
9,485.7321,194.1321,601.6053,215.9116
19,496.7331,210.7118,588.1705,227.0747
7,441.7514,372.4377,473.4727,373.3552
5,256.1291,165.8952,240.1251,273.6296
8,415.7632,178.5385,397.2432,305.7034
11,250.0063,155.8459,405.7645,185.8187
18,404.8242,187.2814,390.4882,295.4926
0,220.9064,289.5489,396.9820,307.5858
13,0.8617,172.9748,56.9272,183.7815
3,353.5241,431.3592,349.3775,459.2897
10,1.4694,438.5539,105.7926,440.1972
2,538.7293,446.6735,593.4385,449.3908
20,593.4277,449.4324,639.5585,474.2893
23,255.3746,165.2336,397.7045,192.4161
4,319.2304,391.8003,354.1205,431.4300
17,496.0426,208.5711,477.4834,374.5511
22,174.9878,426.6843,500.0409,433.9978
29,171.6031,458.0422,495.6615,462.2242
16,241.1423,145.8063,414.9703,177.6200
1,0.5959,223.3301,51.0008,228.2793
21,441.2451,372.0862,437.7324,395.3121
36,506.2351,409.4505,542.2854,410.5048
30,437.0875,394.7714,500.7711,435.7780
27,350.9436,389.9719,436.5996,394.4006
32,57.5450,183.8885,50.7552,227.5898
25,117.7461,391.9953,174.7576,393.9362
12,0.7741,413.5364,110.9075,416.7840
26,473.9822,373.0004,543.7742,408.5013
33,441.4289,373.2515,506.1126,409.6953
40,601.9797,216.7070,574.4288,446.8365
38,499.5612,435.7596,494.9133,460.6681
41,349.5921,337.8273,468.1537,349.1584
6,485.4859,195.2714,465.7415,346.2177
28,239.1861,143.6735,219.6427,289.4347
24,240.6278,272.8391,383.3879,288.8524
14,587.9131,226.4346,560.4417,446.8841
44,355.9771,431.7434,498.5672,435.2493
47,117.5662,392.4383,99.7034,479.1830
34,16.0725,27.5295,621.9416,171.4040
35,248.8497,155.5083,230.1974,282.6505
31,129.7600,351.0097,178.7661,355.0891
39,179.9259,380.1096,167.4180,479.0788
37,137.6581,313.6354,235.4581,322.7142
51,231.6546,280.3077,389.7237,298.3452
56,640.0000,167.0853,626.3033,169.1276
45,594.6293,433.0226,639.3534,453.6360
57,625.6466,166.7157,592.3684,451.2161
53,137.3179,314.9297,129.8466,350.0310
50,178.7907,354.4481,177.1348,393.2815
42,16.3970,225.0696,0.0000,326.1048
43,129.8040,351.4786,115.8974,386.6286
52,471.7900,350.0164,471.7204,372.8864
48,179.4841,380.7278,222.6960,382.9331
