uid,x,y
9326,94.0,302.0
10337,237.0,92.0
10207,256.0,300.0
10338,252.0,97.0
9682,255.0,98.0
8626,120.0,126.0
10200,128.0,140.0
10339,134.0,151.0
9537,132.0,157.0
10208,252.0,291.0
10206,263.0,311.0
9691,76.0,273.0
8007,157.0,270.0
10340,91.0,266.0
8630,296.0,188.0
10341,285.0,193.0
10342,102.0,259.0
10343,62.0,376.0
9944,265.0,241.0
9727,234.0,91.0
9450,171.0,392.0
9810,175.0,393.0
9809,141.0,394.0
9217,114.0,219.0
10085,115.0,217.0
10214,597.0,432.0
9441,228.0,204.0
9210,197.0,433.0
9443,186.0,206.0
9206,139.0,166.0
10344,139.0,169.0
7543,141.0,316.0
9958,235.0,285.0
9953,139.0,172.0
9692,164.0,272.0
7690,115.0,213.0
10209,165.0,270.0
10078,137.0,174.0
9955,177.0,214.0
9961,139.0,267.0
10210,136.0,266.0
10079,595.0,432.0
9954,212.0,326.0
8531,163.0,261.0
9108,177.0,203.0
7197,159.0,258.0
10201,195.0,433.0
8871,143.0,390.0
10345,183.0,202.0
10203,200.0,395.0
10223,263.0,249.0
10087,196.0,224.0
9110,244.0,206.0
10346,158.0,210.0
9447,180.0,210.0
10220,553.0,428.0
10231,235.0,213.0
10347,126.0,177.0
10348,163.0,245.0
5299,170.0,242.0
10349,223.0,197.0
10350,144.0,241.0
10224,230.0,201.0
8759,114.0,240.0
10226,185.0,232.0
10096,168.0,237.0
10093,173.0,234.0
10351,108.0,237.0
10352,189.0,201.0
9829,219.0,205.0
9731,117.0,234.0
9828,237.0,203.0
10353,96.0,302.0
7910,145.0,231.0
9826,191.0,241.0
9867,170.0,222.0
10222,188.0,222.0
8143,179.0,242.0
10354,134.0,229.0
10355,245.0,225.0
9825,192.0,223.0
10219,147.0,222.0
9836,176.0,220.0
10356,142.0,219.0
9963,188.0,196.0
10357,325.0,354.0
10358,143.0,260.0
10229,154.0,261.0
10359,145.0,218.0
8744,149.0,209.0
10097,258.0,265.0
10360,197.0,228.0
10361,83.0,319.0
10233,556.0,427.0
10362,360.0,214.0
8517,160.0,214.0
10101,194.0,228.0
10100,166.0,226.0
9718,241.0,283.0
9838,237.0,275.0
9837,224.0,279.0
10134,224.0,281.0
10363,161.0,239.0
10364,169.0,212.0
10365,152.0,232.0
10366,129.0,217.0
10367,164.0,226.0
10368,131.0,226.0
8510,206.0,252.0
10255,114.00000762939453,240.00001525878906
5429,237.60000610351562,92.4000015258789
10369,250.8000030517578,96.0
9980,196.8000030517578,433.20001220703125
8389,254.40000915527344,97.20000457763672
9843,120.00000762939453,126.00000762939453
10236,127.20000457763672,139.20001220703125
10370,134.40000915527344,151.20001220703125
6506,132.0,156.0
10371,130.8000030517578,160.8000030517578
10116,136.8000030517578,174.0
9743,126.00000762939453,176.40000915527344
9845,295.20001220703125,188.40000915527344
10083,284.4000244140625,194.40000915527344
10372,187.20001220703125,196.8000030517578
9354,222.00001525878906,196.8000030517578
7535,276.0,199.20001220703125
10373,229.20001220703125,200.40000915527344
7003,176.40000915527344,202.8000030517578
9986,182.40000915527344,202.8000030517578
10374,595.2000122070312,432.0000305175781
7797,228.00001525878906,204.00001525878906
7689,186.0,205.20001220703125
8653,243.60000610351562,206.40000915527344
10375,237.60000610351562,207.60000610351562
9601,195.60000610351562,430.8000183105469
10245,180.0,210.00001525878906
9484,554.4000244140625,427.20001220703125
10122,115.20000457763672,212.40000915527344
9481,235.20001220703125,213.60000610351562
10153,174.0,397.20001220703125
7560,176.40000915527344,214.8000030517578
8174,240.00001525878906,214.8000030517578
8776,115.20000457763672,216.00001525878906
9686,199.20001220703125,394.8000183105469
9851,114.00000762939453,220.8000030517578
9808,172.8000030517578,394.8000183105469
10125,199.20001220703125,222.00001525878906
9973,139.20001220703125,394.8000183105469
10376,195.60000610351562,223.20001220703125
8914,175.20001220703125,392.4000244140625
10377,201.60000610351562,391.20001220703125
10378,170.40000915527344,391.20001220703125
10379,142.8000030517578,390.0000305175781
