uid,x,y
9944,277.0,241.0
9945,261.0,94.0
9567,262.0,97.0
9808,188.0,395.0
9682,266.0,98.0
8626,132.0,129.0
9568,140.0,142.0
9683,146.0,153.0
9537,145.0,159.0
9809,156.0,395.0
9810,190.0,393.0
9450,187.0,393.0
9946,79.0,377.0
9570,276.0,311.0
9947,269.0,300.0
8630,307.0,188.0
9948,265.0,291.0
9691,91.0,276.0
9949,297.0,193.0
8007,170.0,272.0
9817,105.0,267.0
9950,117.0,261.0
4330,248.0,93.0
9217,128.0,221.0
9438,354.0,442.0
8513,196.0,203.0
9210,213.0,433.0
9441,239.0,204.0
9569,211.0,433.0
9951,201.0,206.0
9685,213.0,431.0
9443,198.0,207.0
9952,214.0,395.0
9206,152.0,168.0
9313,152.0,171.0
9811,217.0,392.0
8871,159.0,391.0
9953,152.0,174.0
9813,226.0,327.0
9954,225.0,325.0
7543,156.0,317.0
9326,109.0,304.0
9955,191.0,216.0
9956,141.0,179.0
9957,196.0,218.0
9958,248.0,285.0
9692,178.0,273.0
8549,178.0,271.0
8402,150.0,267.0
8531,176.0,263.0
9687,288.0,199.0
9816,211.0,224.0
9836,189.0,222.0
8862,242.0,202.0
9108,189.0,205.0
9745,571.0,426.0
9110,256.0,207.0
9959,143.0,163.0
9864,159.0,211.0
8744,162.0,211.0
9447,192.0,211.0
9706,338.0,354.0
9820,247.0,214.0
9579,198.0,233.0
8993,160.0,315.0
9960,186.0,235.0
9468,131.0,236.0
9207,139.0,179.0
8517,173.0,215.0
6489,252.0,216.0
8510,179.0,189.0
9961,153.0,268.0
9819,201.0,202.0
8759,128.0,242.0
9962,156.0,242.0
9963,200.0,198.0
9700,176.0,266.0
9831,201.0,223.0
5299,183.0,244.0
7551,167.0,263.0
9825,205.0,223.0
9705,176.0,247.0
9964,275.0,249.0
7197,172.0,259.0
9839,257.0,246.0
9471,156.0,227.0
9828,250.0,203.0
9830,157.0,262.0
9824,171.0,246.0
8143,192.0,243.0
9829,231.0,206.0
9827,574.0,425.0
9832,209.0,229.0
9965,201.0,212.0
9826,204.0,242.0
9966,147.0,232.0
9834,183.0,223.0
9514,372.0,212.0
9967,160.0,224.0
9968,194.0,194.0
9969,182.0,214.0
9838,250.0,275.0
9970,153.0,192.0
9837,237.0,280.0
9718,254.0,283.0
7910,159.0,233.0
9000,160.0,240.0
9971,177.0,240.0
9028,158.0,219.0
9235,276.0,241.20001220703125
5429,248.40000915527344,93.60000610351562
7096,261.6000061035156,97.20000457763672
8389,265.20001220703125,98.4000015258789
9843,132.0,128.40000915527344
9972,139.20001220703125,142.8000030517578
9598,146.40000915527344,153.60000610351562
6506,145.20001220703125,159.60000610351562
9973,154.8000030517578,394.8000183105469
8914,190.8000030517578,393.6000061035156
9498,187.20001220703125,393.6000061035156
9848,79.20000457763672,376.8000183105469
9845,306.0,188.40000915527344
9849,276.0,309.6000061035156
9974,296.4000244140625,193.20001220703125
9138,106.80000305175781,306.0
8035,109.20000457763672,303.6000061035156
9975,268.8000183105469,300.0
9976,264.0,291.6000061035156
9977,91.20000457763672,274.8000183105469
9487,169.20001220703125,271.20001220703125
9978,169.20001220703125,268.8000183105469
9815,105.60000610351562,267.6000061035156
9726,117.60000610351562,259.20001220703125
9727,244.8000030517578,91.20000457763672
9851,128.40000915527344,222.00001525878906
8776,128.40000915527344,218.40000915527344
9979,166.8000030517578,262.8000183105469
9859,172.8000030517578,214.8000030517578
9980,212.40000915527344,433.20001220703125
7690,129.60000610351562,216.00001525878906
7560,189.60000610351562,216.00001525878906
8174,252.00001525878906,216.00001525878906
9601,212.40000915527344,430.8000183105469
9484,572.4000244140625,426.0000305175781
9850,192.0,211.20001220703125
9445,189.60000610351562,397.20001220703125
9981,212.40000915527344,223.20001220703125
9686,213.60000610351562,394.8000183105469
9163,200.40000915527344,226.8000030517578
9844,150.0,164.40000915527344
9600,151.20001220703125,166.8000030517578
9743,139.20001220703125,178.8000030517578
9982,217.20001220703125,391.20001220703125
9482,159.60000610351562,391.20001220703125
8542,198.00001525878906,232.8000030517578
9852,178.8000030517578,188.40000915527344
9352,186.0,235.20001220703125
9731,129.60000610351562,236.40000915527344
9854,181.20001220703125,238.8000030517578
9453,224.40000915527344,325.20001220703125
9741,222.00001525878906,324.0
8653,255.60000610351562,206.40000915527344
4503,156.0,316.8000183105469
7213,159.60000610351562,314.4000244140625
9476,177.60000610351562,192.0
8787,200.40000915527344,198.00001525878906
9862,182.40000915527344,243.60000610351562
9983,111.60000610351562,303.6000061035156
9376,175.20001220703125,246.00001525878906
9354,234.00001525878906,198.00001525878906
9490,274.8000183105469,248.40000915527344
7535,288.0,198.00001525878906
7689,198.00001525878906,206.40000915527344
7955,171.60000610351562,259.20001220703125
9984,201.60000610351562,202.8000030517578
9481,247.20001220703125,213.60000610351562
9985,176.40000915527344,262.8000183105469
9461,270.0,265.20001220703125
9140,247.20001220703125,284.4000244140625
7003,188.40000915527344,205.20001220703125
7797,238.8000030517578,204.00001525878906
9986,194.40000915527344,204.00001525878906
9736,177.60000610351562,273.6000061035156
9987,171.60000610351562,246.00001525878906
9735,249.60000610351562,202.8000030517578
8038,127.20000457763672,242.40000915527344
9231,138.0,220.8000030517578
9861,188.40000915527344,222.00001525878906
9591,157.20001220703125,242.40000915527344
9988,253.20001220703125,283.20001220703125
9615,256.8000183105469,246.00001525878906
8555,192.0,242.40000915527344
9989,338.4000244140625,351.6000061035156
9867,183.60000610351562,225.60000610351562
9990,208.8000030517578,229.20001220703125
9991,159.60000610351562,240.00001525878906
9866,178.8000030517578,228.00001525878906
9865,204.00001525878906,241.20001220703125
9992,158.40000915527344,232.8000030517578
2506,128.16000366210938,221.760009765625
9619,259.20001220703125,96.4800033569336
9993,264.96002197265625,97.92000579833984
8931,132.48001098632812,129.60000610351562
9994,139.6800079345703,142.5600128173828
9750,145.44000244140625,159.8400115966797
